latitude,longitude,altitude,distance
-13.60146,131.52346,172.8,181100.0
-13.60417,131.52567,168.4,181486.0
-13.60757,131.52728,175.3,181903.0
-13.608398,131.527616,174.4,182002.0
-13.61477,131.53061,192.1,182784.0
-13.61647,131.53204,187.8,183029.0
-13.61696,131.53254,188.5,183106.0
-13.617546,131.533212,188.0,183204.0
-13.61989,131.5359,204.8,183594.0
-13.621648,131.537916,199.1,183887.0
-13.626863,131.54386,220.8,184754.0
-13.62944,131.54731,218.5,185226.0
-13.62989,131.5482,219.9,185334.0
-13.63017,131.54883,219.0,185409.0
-13.63075,131.55051,220.1,185602.0
-13.63128,131.55539,207.0,186136.0
-13.631388,131.567248,226.0,187419.0
-13.63136,131.57405,215.7,188155.0
-13.629245,131.582027,232.3,189054.0
-13.62889,131.582825,230.3,189149.0
-13.627115,131.586812,238.8,189623.0
-13.62534,131.5908,231.7,190098.0
-13.62511,131.59133,233.0,190161.0
-13.62459,131.592645,230.2,190314.0
-13.62347,131.59652,234.4,190752.0
-13.62306,131.59927,231.7,191053.0
-13.62296,131.60231,236.9,191383.0
-13.62338,131.60659,221.5,191848.0
-13.62388,131.61001,230.5,192223.0
